page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by,notes
95,"She handed over the cigarettes and took the money. He
broke the pack and thrust one between his full, purple lips.",Eatonville,economic,Tea Cake,good,money,Janie,Will Jones,
98,"""Evenin', Mis' Starks. Could yuh lemme have uh pound uh
knuckle puddin'* till Saturday? Ah'm sho tuh pay yuh then.""
""You needs ten pounds, Mr. Tea Cake. Ah'll let yuh have all
Ah got and you needn't bother 'bout payin' it back.""",Eatonville,economic,Tea Cake,money,,Janie,Will Jones,
73,"""Tony comes in here every saturday and buys groceries""",Eatonville,economic,Tony,food,money,"Starks, Jody",Avery Berkshire,
74,"""Mist' stark, please gimme uh lil piece uh meat fur me and mah chillun""",Eatonville,economic,Mrs. robbins,food,money,"Starks, Jody",Avery Berkshire,
78,"""So one day Steve Mixon wanted some chewing tobacco""",Eatonville,economic,steve mixon,good,money,"Starks, Jody",Avery Berkshire,
108,But the fourth day after he came,Unknown Place where Tea Cake buys car,economic,Tea Cake,good,money,Unknown,Josie ,
110,Gone off to Sanford in a car ,Sanford,movement,,,,,Josie ,
108,We got tuh go buy groceries,Orlando,economic,Tea Cake,good,money,Unknown,Josie ,
110,Done took to high heel slippers,Orlando,economic,Tea Cake,good,money,Unknown,Josie ,
110,"Looking like some young girl, always",Orlando,economic,Tea Cake,good,money,Unknown,Josie ,
110,Tea Cake and Janie gone,Orlando,economic,Tea Cake,service,money,Unknown,Josie ,
111,New dresses and her hair combed,Orlando,economic,Tea Cake,good,money,Unknown,Josie ,
115,Wait til you see de new ,Orlando,economic,Tea Cake,good,money,Unknown,Josie ,
119,"Naturally, he had believed her and",Maitland,economic,Unamed Young Man,good,money,Unknown,Matt Gowel,
122,He bought up the stuff and,Orlando,economic,Tea Cake,good,money,Unknown,Matt Gowel,
122,And he stood in the door,Orlando,economic,Tea Cake,service,money,Unknown,Matt Gowel,
123,He bought the guitar on the,Orlando,economic,Tea Cake,good,money,Unknown,Matt Gowel,
125,He went out and bought a,Orlando,economic,Tea Cake,good,money,Unknown,Matt Gowel,
136,Pistol and shot gun and rifle.,Palm Beach,economic,Tea Cake,good,money,Unknown,Radek,
139,The way he would sit in,Janie and Tea Cake's House,economic,Tea Cake,good,money,Unknown,Radek,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
136,One day they were working near,Everglades,movement,,,,,Hannah,
139,The season closed and people went away like they had come-in droves.,Everglades,movement,people,,,,Daniel,
139,"There was nothing to do, after they [Tea Cake and Janie] had gathered several bushels of dried beans to save over and sell to the planters in the fall.",Everglades,economic,Janie and Tea Cake together,good,money,Janie and Tea Cake together,Daniel,
140,"She [Mrs. Turner] seldom stayed long when she found Tea Cake at home, but when she happebed to drop in and catch Janie alone, she'd spend hours chatting away.",Janie and Tea Cake's House,movement,Mrs. Turner,,,,Daniel,
146,"Otherwise they made little trips to Palm Beach, Fort Myer and Fort Lauderdale for their fun.",Palm Beach,economic,Janie and Tea Cake together,service,money,Unknown,Daniel,
146,"Otherwise they made little trips to Palm Beach, Fort Myer and Fort Lauderdale for their fun.",Fort Myers,economic,Janie and Tea Cake together,service,money,Unknown,Daniel,
146,"Otherwise they made little trips to Palm Beach, Fort Myer and Fort Lauderdale for their fun.",Fort Lauderdale,economic,Janie and Tea Cake together,service,money,Unknown,Daniel,
189,She took a room at the,Orlando,economic,Janie,good,money,unknown,Michelle,
189,she took a room at the,Orlando,movement,Janie,service,,,Michelle,
191,"off. Anyway, their anger against Janie",Eatonville,movement,,,,,Michelle,
149,"Saturday afternoon, when the work tickets were turned to cash...",Orlando,economic,Everybody in restaurant,good,money,Mrs. Turner,Alex,
153,Monday morning Coodemay and Sterrett stopped by...,Orlando,economic,Coodemay,service,money,,Alex,
153,Monday morning Coodemay and Sterrett stopped by...,Orlando,economic,Sterrett,service,money,,Alex,
185,when the doctor told the sheriff,Everglades,economic,Janie,service,,,Michelle,
189,she took a room at the,Everglades,economic,Janie,good,money,unknown,Michelle,
189,she took a room at the,Orlando,economic,Janie,good,money,unknown,Michelle,
189,she took a room at the,Orlando,economic,Janie,good,money,unknown,Michelle,
191,"off. Anyway, their anger against Janie",Everglades,economic,,good,,Janie,Michelle,
169,too bold round heah. Ah didn't ,Palm Beach ,movement,,,,,Doria ,
170,Dat's what we want yuh fuh,Wreckage clearing site ,movement,,,,,Doria ,
171,Condition they's in got tuh examine ,Palm Beach ,movement,,,,,Doria ,
172,"Where us goin', Tea Cake? De",Everglades,movement,,,,,Doria ,
173,"Who you reckon I see, Janie? ",Everglades,economic,Tea Cake,good,money,unknown,Doria ,
175,Whut make you ack lak dat,Everglades,economic,Janie,service,money,Dr. Simmons ,Doria ,
173,"Who you reckon I see, Janie? ",Everglades,economic,,,,,,
163,They stepped out in water almost,Okeechobee,movement,Janie,,,,Damien,
164,"“But we still kin run,” Tea",Tall House on mound,movement,Janie,,,,Damien,
166,"Well, uh, Good bye, Motor Boat.",six mile bridge ,movement,Janie,,,,Damien,
177,Outside he fumbled in his bag,Okeechobee,economic,Janie,good,money,Dr. Simmons ,Kyle,
180,She fanned on down the road,Everglades,movement,,,,,Kyle,
185,So that same day of Janie’s,Everglades,movement,,,,,Kyle,
185,So that same day of Janie’s,Courthouse,movement,,,,,Kyle,
